Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
21983,07/07/2009,08/11/2009,2009,Industrial/commercial   Equipment Noise,20815
2019,05/08/2001,07/18/2001,2001,Industrial/commercial  construction/repair/demolit,20852
20162441,11/07/2016,11/22/2016,2016,Industrial/commercial  construction/repair/demolit,20852
20231202,02/16/2023,03/09/2023,2023,Residential   El  Amplification Equip,20866
20131449,12/02/2013,12/18/2013,2013,Industrial/commercial   Electrical Amp Equip,20910
8769,06/23/1999,06/28/1999,1999,Industrial/commercial  construction/repair/demolit,20852
23090,03/25/2010,04/05/2010,2010,Industrial/commercial   Equipment Noise,20817
20191194,02/27/2019,03/07/2019,2019,Industrial/commercial  construction/repair/demolit,20841
2013953,07/22/2013,08/09/2013,2013,Waiver Request,20910
2014869,06/16/2014,08/29/2014,2014,Residential   Construction/repair/demolition,20814
268,03/21/2000,06/13/2000,2000,Industrial/commercial   Equipment Noise,20910
20202535,09/30/2020,10/07/2020,2020,Industrial/commercial   Refuse Noise Collection,20854
20261101,01/16/2026,,2026,Residential   El  Amplification Equip,20879
20251274,03/10/2025,04/02/2025,2025,Residential   Mechanical,20886
20151237,03/20/2015,06/15/2015,2015,Residential   El  Amplification Equip,20882
20172104,08/10/2017,09/18/2018,2017,Industrial/commercial   Refuse Noise Collection,20814
2013655,06/12/2013,07/01/2013,2013,Residential   El  Amplification Equip,20879
20211669,05/02/2021,05/18/2021,2021,Residential   El  Amplification Equip,20817
1333,12/14/2000,01/10/2001,2000,Industrial/commercial   Equipment Noise,20910
422,05/04/2000,07/28/2000,2000,Residential   Motor Vehicle Noise,20904
20201428,03/26/2020,07/28/2020,2020,Waiver Request,20814
2013738,06/18/2013,01/22/2014,2013,Industrial/commercial   Electrical Amp Equip,20910
20251826,06/16/2025,09/17/2025,2025,Residential   El  Amplification Equip,20878
20252262,08/19/2025,,2025,Leaf Blower Use   Petro Fueled,20816
16115,04/04/2005,05/02/2005,2005,Residential   El  Amplification Equip,20886
24597,03/31/2011,05/09/2011,2011,Residential   Construction/repair/demolition,20814
20181386,03/28/2018,04/27/2018,2018,Industrial/commercial   Refuse Noise Collection,20814
8264,04/06/1999,04/17/2000,1999,Residential   Motor Vehicle Noise,20814
20202165,07/15/2020,11/12/2020,2020,Industrial/commercial   heat Pump/ac Noise,20910
20202521,09/28/2020,10/19/2020,2020,Residential   Construction/repair/demolition,20854
8412,01/19/1999,01/20/1999,1999,Industrial/commercial   Equipment Noise,20816
20231078,01/23/2023,04/03/2023,2023,Industrial/commercial   Refuse Noise Collection,20855
20161960,07/26/2016,02/09/2017,2016,Residential Muti Tenant Dwelling,20910
20212273,08/18/2021,08/30/2021,2021,Industrial/commercial   heat Pump/ac Noise,20910
20161392,04/22/2016,06/15/2016,2016,Waiver Request,20815
13372,08/27/2003,12/29/2004,2003,Industrial/commercial   heat Pump/ac Noise,20817
10714,12/07/1998,01/07/1999,1998,Residential   El  Amplification Equip,20879
20201134,01/29/2020,04/03/2020,2020,Waiver Request,20912
20241812,06/10/2024,07/29/2024,2024,Waiver Request,20910
24308,01/21/2011,06/24/2011,2011,Industrial/commercial  construction/repair/demolit,20871
20192153,07/25/2019,10/15/2019,2019,Industrial/commercial  construction/repair/demolit,20817
20211066,01/19/2021,03/12/2021,2021,Residential Muti Tenant Dwelling,20906
20201053,01/13/2020,01/15/2020,2020,Information Request,20886
20191756,05/13/2019,07/01/2019,2019,Residential   Mechanical,20904
19002,05/10/2007,01/08/2013,2007,Industrial/commercial  construction/repair/demolit,20871
20252524,09/18/2025,10/06/2025,2025,Industrial/commercial   Electrical Amp Equip,20814
27471,01/07/2013,01/15/2013,2013,Residential   Construction/repair/demolition,20817
23051,03/18/2010,03/24/2010,2010,Industrial/commercial  construction/repair/demolit,20832
24428,02/24/2011,03/08/2011,2011,Industrial/commercial   Electrical Amp Equip,20910
1857,04/23/2001,05/21/2001,2001,Industrial/commercial  construction/repair/demolit,20814
20242068,07/26/2024,09/27/2024,2024,Residential   El  Amplification Equip,20886
14778,06/10/2004,01/05/2005,2004,Residential   Mechanical,20817
16588,07/25/2005,01/18/2006,2005,Residential   Construction/repair/demolition,20874
26456,05/31/2012,08/27/2012,2012,Residential   Construction/repair/demolition,20812
7314,05/21/1997,10/31/1997,1997,Industrial/commercial   Equipment Noise,20880
20191348,03/19/2019,05/03/2019,2019,Industrial/commercial   Electrical Amp Equip,20852
20251490,04/08/2025,04/18/2025,2025,Noise Industrial/commercial   Leaf Blower Noise,20878
20151726,06/03/2015,06/17/2015,2015,Residential   El  Amplification Equip,20853
20232339,10/04/2023,10/19/2023,2023,Residential   Mechanical,20853
20131489,12/11/2013,06/04/2014,2013,Residential   Mechanical,20852
10135,07/06/1998,07/20/1998,1998,Industrial/commercial  construction/repair/demolit,20817
18486,12/14/2006,03/23/2007,2006,Residential   El  Amplification Equip,20853
20201722,05/05/2020,07/21/2020,2020,Industrial/commercial   Equipment Noise,20816
20242160,08/16/2024,12/04/2024,2024,Residential   El  Amplification Equip,20886
25165,06/28/2011,08/17/2011,2011,Project   Community Noise Survey,20842
20182135,08/13/2018,09/18/2018,2018,Residential   Construction/repair/demolition,20860
20201131,01/29/2020,08/13/2020,2020,Waiver Request,20814
15593,11/29/2004,12/14/2004,2004,Residential   Construction/repair/demolition,20860
20212041,07/06/2021,09/20/2021,2021,Industrial/commercial  construction/repair/demolit,20910
14567,04/30/2004,05/07/2004,2004,Residential   El  Amplification Equip,20817
15759,01/06/2005,01/11/2005,2005,Industrial/commercial  construction/repair/demolit,20816
20242315,09/16/2024,10/28/2024,2024,Residential   Mechanical,20854
9897,05/13/1998,05/26/1998,1998,Industrial/commercial  construction/repair/demolit,20876
9655,03/09/1998,05/01/1998,1998,Industrial/commercial   Refuse Noise Collection,20852
9654,03/24/1998,05/31/1999,1998,Industrial/commercial   Equipment Noise,20852
21576,04/09/2009,04/29/2009,2009,Residential House/yard,20878
20192145,07/22/2019,08/28/2019,2019,Waiver Request,20902
20241499,04/10/2024,06/03/2024,2024,Residential   Motor Vehicle Noise,20879
20252039,07/18/2025,08/25/2025,2025,Leaf Blower Use   Petro Fueled,20879
20242280,09/10/2024,11/22/2024,2024,Residential   Construction/repair/demolition,20895
20252021,07/16/2025,08/06/2025,2025,Leaf Blower Use   Petro Fueled,20850
20151677,05/20/2015,07/23/2015,2015,Industrial/commercial  construction/repair/demolit,20910
27128,10/09/2012,11/19/2012,2012,Industrial/commercial   Equipment Noise,20850
20202437,09/08/2020,02/12/2021,2020,Waiver Request,20814
20201327,03/12/2020,03/18/2020,2020,Residential   Construction/repair/demolition,20815
20242284,09/11/2024,09/17/2024,2024,Industrial/commercial   Equipment Noise,20910
25813,12/16/2011,02/10/2012,2011,Residential   Construction/repair/demolition,20852
17822,06/22/2006,07/20/2006,2006,Industrial/commercial   Equipment Noise,20814
20192235,08/09/2019,12/04/2019,2019,Waiver Request,20814
2014914,06/23/2014,10/27/2014,2014,Industrial/commercial   Electrical Amp Equip,20902
10326,08/13/1998,09/02/1998,1998,Industrial/commercial  construction/repair/demolit,20852
20241645,05/08/2024,07/29/2024,2024,Waiver Request,20816
8148,01/19/1999,03/01/1999,1999,Industrial/commercial  construction/repair/demolit,20815
2013753,06/19/2013,07/09/2013,2013,Residential   Construction/repair/demolition,20817
20181190,02/22/2018,03/22/2018,2018,Residential   Construction/repair/demolition,20850
9864,05/05/1998,06/17/1998,1998,Industrial/commercial   Equipment Noise,20906
10061,06/17/1998,06/30/1998,1998,Industrial/commercial   Equipment Noise,20910
2013367,04/08/2013,05/13/2013,2013,Residential Muti Tenant Dwelling,20874
20191013,01/07/2019,02/01/2019,2019,Residential Muti Tenant Dwelling,20879
20922,10/08/2008,11/17/2008,2008,Residential   El  Amplification Equip,20832
12943,06/05/2003,07/18/2003,2003,Residential   Motor Vehicle Noise,20854
20222009,07/26/2022,12/14/2022,2022,Residential   Construction/repair/demolition,20910
20253323,12/11/2025,01/06/2026,2025,Residential Muti Tenant Dwelling,20815
20252259,08/18/2025,09/11/2025,2025,Leaf Blower Use   Petro Fueled,20902
4262,04/11/1995,04/26/1995,1995,Industrial/commercial   Equipment Noise,20817
20221656,05/20/2022,07/13/2022,2022,Residential   Construction/repair/demolition,20882
20252216,08/11/2025,09/03/2025,2025,Leaf Blower Use   Petro Fueled,20901
20201718,05/04/2020,05/12/2020,2020,Residential Muti Tenant Dwelling,20817
20141182,09/05/2014,09/15/2014,2014,Industrial/commercial   Equipment Noise,20816
20222422,10/31/2022,11/07/2022,2022,Residential   Mechanical,20895
9752,04/10/1998,05/22/1998,1998,Residential House/yard,20906
26311,04/25/2012,02/15/2013,2012,Industrial/commercial   Electrical Amp Equip,20910
20252077,07/23/2025,08/25/2025,2025,Leaf Blower Use   Petro Fueled,20895
13138,07/15/2003,08/08/2003,2003,Industrial/commercial   heat Pump/ac Noise,20814
20212721,11/15/2021,02/02/2022,2021,Residential Muti Tenant Dwelling,20876
14594,05/05/2004,06/21/2004,2004,Residential   El  Amplification Equip,20879
20231850,06/26/2023,07/19/2023,2023,Residential   El  Amplification Equip,20901
1151,10/24/2000,11/24/2000,2000,Industrial/commercial  construction/repair/demolit,20854
20191147,02/12/2019,07/02/2019,2019,Residential Muti Tenant Dwelling,20906
18188,09/26/2006,09/26/2006,2006,Industrial/commercial  construction/repair/demolit,20855
20253275,12/08/2025,12/17/2025,2025,Leaf Blower Use   Petro Fueled,20910
20162040,08/04/2016,08/05/2016,2016,Residential   Construction/repair/demolition,20882
23026,03/12/2010,07/16/2010,2010,Industrial/commercial   Equipment Noise,20842
20151551,04/29/2015,05/20/2015,2015,Industrial/commercial   Electrical Amp Equip,20879
20191923,06/07/2019,07/09/2019,2019,Residential Muti Tenant Dwelling,20852
20251695,05/19/2025,06/06/2025,2025,Industrial/commercial   Equipment Noise,20910
20202720,11/03/2020,11/30/2020,2020,Industrial/commercial   Equipment Noise,20850
20161084,01/27/2016,06/13/2016,2016,Industrial/commercial   Electrical Amp Equip,20850
20191898,06/04/2019,02/27/2020,2019,Industrial/commercial   Equipment Noise,20901
20141568,12/09/2014,02/24/2015,2014,Residential Muti Tenant Dwelling,20874
7158,08/28/1997,10/10/1997,1997,Residential   Motor Vehicle Noise,20906
9083,09/16/1999,11/09/1999,1999,Residential   Mechanical,20912
9794,04/17/1998,05/29/1998,1998,Residential   Motor Vehicle Noise,20904
20241289,02/29/2024,04/25/2025,2024,Industrial/commercial   Electrical Amp Equip,20879
12783,05/08/2003,07/22/2003,2003,Industrial/commercial   Equipment Noise,20910
20131085,08/29/2013,11/13/2013,2013,Residential   Mechanical,20817
20161156,02/23/2016,03/23/2016,2016,Industrial/commercial   Electrical Amp Equip,20814
20182087,07/30/2018,10/17/2018,2018,Waiver Request,20904
20221838,06/21/2022,05/30/2023,2022,Residential   El  Amplification Equip,20854
20252101,07/28/2025,11/13/2025,2025,Industrial/commercial  construction/repair/demolit,20814
20192717,11/19/2019,11/20/2019,2019,Industrial/commercial   Electrical Amp Equip,20814
20221819,06/15/2022,06/23/2022,2022,Industrial/commercial   Equipment Noise,20850
20202222,07/27/2020,08/27/2020,2020,Waiver Request,20910
163,02/18/2000,03/03/2000,2000,Residential House/yard,20874
10947,03/12/2004,01/19/2005,2004,Industrial/commercial   Electrical Amp Equip,20815
20231815,06/20/2023,07/11/2023,2023,Industrial/commercial   Equipment Noise,20854
9005,10/10/1999,01/27/2000,1999,Residential   El  Amplification Equip,20852
20252180,08/06/2025,09/09/2025,2025,Leaf Blower Use   Petro Fueled,20853
20221864,06/27/2022,10/26/2022,2022,Residential   Construction/repair/demolition,20817
10477,09/24/1998,03/31/1999,1998,Industrial/commercial   Equipment Noise,20815
20252977,11/09/2025,12/08/2025,2025,Leaf Blower Use   Petro Fueled,20902
20152456,11/19/2015,01/05/2016,2015,Residential   Construction/repair/demolition,20817
24884,05/17/2011,07/31/2012,2011,Residential   El  Amplification Equip,20855
1810,08/09/2001,08/30/2001,2001,Industrial/commercial   Equipment Noise,20815
20253339,12/15/2025,12/29/2025,2025,Leaf Blower Use   Petro Fueled,20853
20251341,03/19/2025,06/24/2025,2025,Waiver Request,20852
20251716,05/23/2025,10/30/2025,2025,Residential Muti Tenant Dwelling,20886
2013881,07/02/2013,07/11/2013,2013,Residential   El  Amplification Equip,20901
17377,03/10/2006,07/10/2006,2006,Residential   El  Amplification Equip,20886
20252975,11/09/2025,12/10/2025,2025,Leaf Blower Use   Petro Fueled,20850
20202559,10/05/2020,10/13/2020,2020,Industrial/commercial   Equipment Noise,20878
20221486,04/18/2022,09/19/2022,2022,Residential   El  Amplification Equip,20910
19193,06/15/2007,06/22/2007,2007,Residential   El  Amplification Equip,20855
13735,11/05/2003,03/16/2004,2003,Industrial/commercial  construction/repair/demolit,20895
22461,10/01/2009,10/27/2009,2009,Residential   Construction/repair/demolition,20854
20192088,07/11/2019,07/15/2019,2019,Residential   Construction/repair/demolition,20814
20232502,11/09/2023,12/20/2023,2023,Noise Industrial/commercial   Leaf Blower Noise,20906
20231001,01/03/2023,01/17/2023,2023,Residential Muti Tenant Dwelling,20904
20222012,07/26/2022,10/03/2022,2022,Waiver Request,20816
6763,01/24/1997,02/14/1997,1997,Industrial/commercial   Refuse Noise Collection,20906
14954,07/13/2004,08/02/2004,2004,Industrial/commercial   heat Pump/ac Noise,20878
13709,10/31/2003,10/07/2004,2003,Industrial/commercial   Equipment Noise,20854
20171424,04/12/2017,05/10/2017,2017,Residential   Construction/repair/demolition,20904
2383,07/19/2001,10/19/2001,2001,Industrial/commercial  construction/repair/demolit,20905
22499,10/07/2009,09/20/2010,2009,Residential   El  Amplification Equip,20886
20252593,09/28/2025,10/22/2025,2025,Leaf Blower Use   Petro Fueled,20855
15686,12/22/2004,01/10/2005,2004,Industrial/commercial   Equipment Noise,20871
20242135,08/12/2024,11/01/2024,2024,Waiver Request,20854
10103,06/24/1998,09/05/1998,1998,Residential   Construction/repair/demolition,20816
23764,08/27/2010,09/14/2010,2010,Residential   Mechanical,20906
5253,01/02/1996,07/09/1996,1996,Industrial/commercial   Equipment Noise,21666
20141355,10/16/2014,12/02/2014,2014,Residential Muti Tenant Dwelling,20815
25827,12/20/2011,03/22/2012,2011,Industrial/commercial   Equipment Noise,20815
23516,06/30/2010,07/15/2010,2010,Residential   Construction/repair/demolition,20905
20201064,01/15/2020,02/03/2020,2020,Waiver Request,20850
25788,12/13/2011,12/29/2011,2011,Residential   Construction/repair/demolition,20817
3806,06/29/1995,07/07/1995,1995,Industrial/commercial  construction/repair/demolit,20866
20261156,01/30/2026,,2026,Residential House/yard,20902
20242603,11/13/2024,01/31/2025,2024,Waiver Request,20902
20211112,01/27/2021,02/08/2021,2021,Residential   Mechanical,20850
20162475,11/14/2016,12/21/2016,2016,Industrial/commercial   Electrical Amp Equip,20878
20141463,11/06/2014,12/02/2014,2014,Residential House/yard,20882
20231536,04/27/2023,05/23/2023,2023,Industrial/commercial   Electrical Amp Equip,20880
20171638,05/31/2017,07/21/2017,2017,Industrial/commercial   Equipment Noise,20815
20222582,12/19/2022,01/10/2023,2022,Residential   Construction/repair/demolition,20910
8189,05/12/1999,04/19/2000,1999,Industrial/commercial   Equipment Noise,20814
20181733,05/08/2018,06/12/2018,2018,Residential   El  Amplification Equip,20906
374,04/18/2000,05/10/2000,2000,Residential   El  Amplification Equip,20886
2013292,03/14/2013,10/30/2013,2013,Industrial/commercial   Equipment Noise,20852
20241468,04/02/2024,04/29/2024,2024,Residential   El  Amplification Equip,20876
17574,04/24/2006,06/14/2006,2006,Residential   Mechanical,20817
20211019,01/11/2021,01/22/2021,2021,Industrial/commercial  construction/repair/demolit,20852
20141396,10/29/2014,06/09/2015,2014,Residential House/yard,20902
20252261,08/18/2025,09/11/2025,2025,Leaf Blower Use   Petro Fueled,20910
20995,10/27/2008,07/27/2009,2008,Industrial/commercial   heat Pump/ac Noise,20814
16374,06/08/2005,06/13/2005,2005,Industrial/commercial  construction/repair/demolit,20862
20151747,06/05/2015,12/22/2015,2015,Residential   Motor Vehicle Noise,20901
20182110,08/06/2018,08/13/2018,2018,Residential   Mechanical,20902
20251076,01/28/2025,05/19/2025,2025,Waiver Request,20886
20212850,12/15/2021,02/14/2022,2021,Industrial/commercial   Equipment Noise,20886
20171338,03/28/2017,04/17/2017,2017,Industrial/commercial   Electrical Amp Equip,20878
20192009,06/25/2019,08/13/2019,2019,Residential   El  Amplification Equip,20871
17719,05/31/2006,06/01/2006,2006,Industrial/commercial  construction/repair/demolit,20814
15333,09/28/2004,10/22/2004,2004,Residential   Mechanical,20814
20152124,08/31/2015,10/02/2015,2015,Industrial/commercial  construction/repair/demolit,20832
393,04/27/2000,08/08/2000,2000,Industrial/commercial  construction/repair/demolit,20814
20252284,08/20/2025,10/02/2025,2025,Residential   El  Amplification Equip,20886
10489,09/30/1998,11/18/1998,1998,Industrial/commercial   Equipment Noise,20816
20151475,04/20/2015,04/27/2015,2015,Waiver Request,20906
20251391,03/27/2025,01/08/2026,2025,Residential   Mechanical,20832
17188,01/18/2006,01/19/2006,2006,Industrial/commercial   Equipment Noise,20816
20161831,06/22/2016,06/27/2016,2016,Waiver Request,20852
2014939,07/01/2014,07/21/2014,2014,Industrial/commercial   Equipment Noise,20814
20261201,02/09/2026,,2026,Residential   El  Amplification Equip,20886
21898,06/24/2009,07/09/2009,2009,Residential   El  Amplification Equip,20910
20900,10/01/2008,10/08/2008,2008,Residential   Mechanical,20832
20192326,09/03/2019,11/07/2019,2019,Waiver Request,20814
7405,06/11/1997,07/09/1997,1997,Residential House/yard,20854
20252965,11/07/2025,11/25/2025,2025,Leaf Blower Use   Petro Fueled,20854
18160,09/18/2006,09/27/2006,2006,Industrial/commercial   heat Pump/ac Noise,20815
20251558,04/21/2025,08/29/2025,2025,Industrial/commercial  construction/repair/demolit,20852
840,08/15/2000,11/20/2000,2000,Industrial/commercial   Equipment Noise,20832
23224,04/19/2010,07/20/2010,2010,Residential   El  Amplification Equip,20876
20202487,09/18/2020,11/05/2020,2020,Industrial/commercial  construction/repair/demolit,20817
20212720,11/15/2021,12/01/2021,2021,Residential   Construction/repair/demolition,20814
10028,06/09/1998,06/16/1998,1998,Industrial/commercial  construction/repair/demolit,20902
7167,08/29/1997,09/26/1997,1997,Industrial/commercial  construction/repair/demolit,20902
14710,05/25/2004,06/03/2004,2004,Residential   El  Amplification Equip,20853
20192612,10/31/2019,02/19/2020,2019,Waiver Request,20814
17597,04/26/2006,10/01/2006,2006,Residential   Motor Vehicle Noise,20871
13890,12/02/2003,03/17/2004,2003,Industrial/commercial   Equipment Noise,20814
20253408,12/23/2025,,2025,Leaf Blower Use   Petro Fueled,20814
20171826,06/19/2017,07/06/2017,2017,Residential   El  Amplification Equip,20901
20171982,07/06/2017,01/30/2018,2017,Industrial/commercial   Equipment Noise,20814
20171666,06/06/2017,06/08/2017,2017,Industrial/commercial   Equipment Noise,20850
20231325,03/15/2023,03/23/2023,2023,Industrial/commercial  construction/repair/demolit,20852
7205,04/28/1997,05/15/1997,1997,Residential House/yard,20874
25409,09/06/2011,09/06/2011,2011,Residential   El  Amplification Equip,20906
23234,04/20/2010,06/16/2010,2010,Residential   El  Amplification Equip,20903
20172191,09/06/2017,09/20/2017,2017,Industrial/commercial   Equipment Noise,20854
20221673,05/24/2022,06/01/2022,2022,Residential Muti Tenant Dwelling,20855
20251975,07/11/2025,07/21/2025,2025,Industrial/commercial  construction/repair/demolit,20910
20251133,02/10/2025,03/31/2025,2025,Residential Muti Tenant Dwelling,20855
20191063,01/18/2019,01/25/2019,2019,Industrial/commercial   Refuse Noise Collection,20882
22951,02/22/2010,04/07/2010,2010,Residential   Construction/repair/demolition,20814
20221100,01/31/2022,03/01/2022,2022,Industrial/commercial  construction/repair/demolit,20854
20232629,12/08/2023,07/12/2024,2023,Waiver Request,20910
10306,08/07/1998,09/08/1998,1998,Industrial/commercial  construction/repair/demolit,20905
20231739,06/05/2023,06/20/2023,2023,Industrial/commercial   Equipment Noise,20850
12854,05/20/2003,07/18/2003,2003,Residential   Mechanical,20815
6051,07/08/1996,08/01/1996,1996,Industrial/commercial   Equipment Noise,20814
20181698,04/30/2018,05/08/2018,2018,Residential Muti Tenant Dwelling,20815
20141093,08/06/2014,08/13/2014,2014,Industrial/commercial  construction/repair/demolit,20815
16347,05/27/2005,09/01/2005,2005,Industrial/commercial  construction/repair/demolit,20878
1692,05/04/2001,05/23/2001,2001,Industrial/commercial  construction/repair/demolit,20895
20241600,04/30/2024,05/24/2024,2024,Industrial/commercial   Electrical Amp Equip,20852
20252425,09/08/2025,10/22/2025,2025,Information Request,20910
20222533,12/05/2022,12/19/2022,2022,Industrial/commercial   Electrical Amp Equip,20872
2014795,05/27/2014,10/27/2015,2014,Residential   El  Amplification Equip,20906
4204,03/28/1995,04/21/1995,1995,Industrial/commercial  construction/repair/demolit,20895
2013431,04/24/2013,07/10/2013,2013,Industrial/commercial  construction/repair/demolit,20861
8069,11/24/1997,01/13/1998,1997,Residential House/yard,20814
20192053,07/03/2019,09/18/2019,2019,Waiver Request,20886
9140,10/18/1999,03/29/2001,1999,Residential   Construction/repair/demolition,20852
20162402,10/27/2016,10/27/2016,2016,Residential Muti Tenant Dwelling,20852
8667,06/01/1999,08/08/2000,1999,Industrial/commercial  construction/repair/demolit,20874
20152499,12/04/2015,12/09/2015,2015,Residential Muti Tenant Dwelling,20874
16369,06/07/2005,06/09/2005,2005,Industrial/commercial   Equipment Noise,20774
20171478,04/24/2017,07/24/2017,2017,Industrial/commercial   Electrical Amp Equip,20850
15428,10/19/2004,11/01/2004,2004,Residential   Mechanical,20850
20252995,11/11/2025,11/24/2025,2025,Noise Industrial/commercial   Leaf Blower Noise,20874
9000,10/07/1999,11/29/1999,1999,Residential   Construction/repair/demolition,20910
23165,04/06/2010,08/25/2010,2010,Residential   Motor Vehicle Noise,20878
20251752,05/30/2025,07/07/2025,2025,Industrial/commercial   Equipment Noise,20905
23739,08/20/2010,01/14/2011,2010,Residential   Mechanical,20852
20242221,08/29/2024,03/25/2025,2024,Waiver Request,20814
18560,01/10/2007,06/04/2007,2007,Residential   El  Amplification Equip,20902
26354,05/07/2012,08/17/2012,2012,Industrial/commercial   Electrical Amp Equip,20814
9708,04/01/1998,04/20/1998,1998,Industrial/commercial   Equipment Noise,20816
2179,06/22/2001,10/19/2001,2001,Industrial/commercial   heat Pump/ac Noise,20815
21671,04/29/2009,05/26/2009,2009,Waiver Request,20815
20242110,08/05/2024,10/03/2024,2024,Residential   El  Amplification Equip,20906
20181899,06/12/2018,09/04/2018,2018,Industrial/commercial   Equipment Noise,20910
20222074,08/08/2022,08/24/2022,2022,Industrial/commercial   Refuse Noise Collection,20852
22511,10/09/2009,10/09/2009,2009,Industrial/commercial   Electrical Amp Equip,20902
8275,04/08/1999,12/10/1999,1999,Industrial/commercial  construction/repair/demolit,20910
25840,12/23/2011,11/16/2012,2011,Industrial/commercial  construction/repair/demolit,20850
20212324,08/30/2021,11/09/2021,2021,Residential   El  Amplification Equip,20879
20192727,11/21/2019,03/12/2020,2019,Waiver Request,20902
20151659,05/18/2015,09/14/2015,2015,Waiver Request,20850
8037,11/10/1997,01/13/1998,1997,Residential House/yard,20882
20172481,11/14/2017,12/21/2017,2017,Industrial/commercial   Refuse Noise Collection,20814
12650,04/17/2003,08/20/2004,2003,Industrial/commercial   Equipment Noise,20895
22075,07/23/2009,09/04/2009,2009,Industrial/commercial   Equipment Noise,20815
20192330,09/04/2019,10/28/2019,2019,Waiver Request,20910
27378,12/05/2012,01/04/2013,2012,Residential   Mechanical,20850
20252880,10/31/2025,12/10/2025,2025,Leaf Blower Use   Petro Fueled,20904
20231859,06/26/2023,07/14/2023,2023,Residential Muti Tenant Dwelling,20910
20182620,12/11/2018,01/04/2019,2018,Industrial/commercial  construction/repair/demolit,20910
25505,09/27/2011,12/15/2011,2011,Industrial/commercial   Equipment Noise,20814
20222360,10/14/2022,10/17/2022,2022,Residential   Motor Vehicle Noise,20871
7386,06/09/1997,09/18/1997,1997,Residential House/yard,20815
2013874,07/01/2013,08/20/2013,2013,Industrial/commercial  construction/repair/demolit,20895
20172596,12/12/2017,01/09/2018,2017,Industrial/commercial  construction/repair/demolit,20872
644,06/26/2000,07/11/2000,2000,Residential   Construction/repair/demolition,20901
2148,06/11/2001,07/12/2001,2001,Industrial/commercial  construction/repair/demolit,20910
20171950,07/05/2017,07/24/2017,2017,Industrial/commercial  construction/repair/demolit,20852
204,03/03/2000,03/21/2000,2000,Residential   Construction/repair/demolition,20816
20241885,06/24/2024,11/20/2024,2024,Waiver Request,20903
20161257,03/21/2016,05/02/2016,2016,Industrial/commercial   Electrical Amp Equip,20814
20171459,04/19/2017,08/28/2017,2017,Waiver Request,20854
20201891,05/19/2020,06/02/2020,2020,Residential Muti Tenant Dwelling,20886
20242586,11/12/2024,12/02/2024,2024,Residential   El  Amplification Equip,20874
24556,03/24/2011,11/26/2012,2011,Residential   Mechanical,20852
20191064,01/22/2019,02/05/2019,2019,Industrial/commercial   Equipment Noise,20879
1509,06/21/2001,05/03/2002,2001,Industrial/commercial   Electrical Amp Equip,20817
6135,07/25/1996,08/01/1996,1996,Industrial/commercial  construction/repair/demolit,20878
20161572,06/03/2016,07/07/2016,2016,Residential   El  Amplification Equip,20904
19113,05/30/2007,06/11/2007,2007,Industrial/commercial  construction/repair/demolit,20832
20252470,09/12/2025,09/15/2025,2025,Residential Muti Tenant Dwelling,20815
1989900249,09/11/1989,10/02/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,20904
20191190,02/26/2019,03/18/2020,2019,Industrial/commercial   Equipment Noise,20850
20191883,05/31/2019,12/17/2021,2019,Industrial/commercial   Electrical Amp Equip,20910
20182439,10/24/2018,11/06/2018,2018,Industrial/commercial  construction/repair/demolit,20815
20202045,06/16/2020,08/22/2023,2020,Industrial/commercial   Electrical Amp Equip,20910
19314,07/19/2007,09/04/2007,2007,Industrial/commercial   Electrical Amp Equip,20874
23494,06/22/2010,08/19/2010,2010,Residential   Mechanical,20871
20211381,03/16/2021,03/29/2021,2021,Residential   El  Amplification Equip,20853
20202062,06/22/2020,10/23/2020,2020,Residential   Mechanical,20817
23640,08/02/2010,09/09/2010,2010,Residential   El  Amplification Equip,20853
20202903,12/14/2020,01/04/2021,2020,Industrial/commercial   Refuse Noise Collection,20850
21302,02/09/2009,02/19/2009,2009,Industrial/commercial   Electrical Amp Equip,20814
10287,09/14/1998,09/23/1998,1998,Industrial/commercial   Equipment Noise,20852
20252140,08/01/2025,08/29/2025,2025,Leaf Blower Use   Petro Fueled,20853
20253269,12/07/2025,12/29/2025,2025,Leaf Blower Use   Petro Fueled,20817
16362,06/02/2005,07/07/2005,2005,Residential   Mechanical,20853
20251019,01/07/2025,02/05/2025,2025,Residential Muti Tenant Dwelling,20852
20202854,12/03/2020,12/22/2020,2020,Noise Industrial/commercial   Leaf Blower Noise,20854
20211574,04/15/2021,05/24/2021,2021,Residential   El  Amplification Equip,20854
20212817,12/07/2021,01/20/2022,2021,Residential Muti Tenant Dwelling,20910
20241010,01/02/2024,01/08/2024,2024,Industrial/commercial   Equipment Noise,20852
20252545,09/21/2025,10/09/2025,2025,Leaf Blower Use   Petro Fueled,20910
20251861,06/24/2025,07/16/2025,2025,Residential   Construction/repair/demolition,20815
20192602,10/29/2019,11/25/2019,2019,Residential Muti Tenant Dwelling,20874
20141120,08/18/2014,08/29/2014,2014,Residential   Mechanical,20902
27274,11/13/2012,11/19/2012,2012,Industrial/commercial  construction/repair/demolit,20878
734,07/24/2000,09/26/2000,2000,Industrial/commercial   Electrical Amp Equip,20902
9210,11/03/1999,12/07/1999,1999,Industrial/commercial   Equipment Noise,20886
